IDCandidato,Nombre,Apellidos,Email,Telefono,Perfil,Fuente,Observaciones
1,Josu,Abejon,josuabejon@gmail.com,912222222,Programador,linkedin,En prácticas
2,Maria,Garcia,josuabejon@gmail.com,222,Perfil,Fuente,Obs
3,Rosa,Perez,rosa@mail.com,9122222,Técnico,Linkedin,Experiencia Previa
5,Josu,Abejon,josuabejon@gmail.com,222,Perfil,Fuente,Obs
21,cesar,soto,cesar@acens.com,333,Tecnico,Linkedin,Obs
24,Maria,García Carballo,1,1,A,A,A
41,elisa,perez,m,888,analista,lin,ejemplo
42,a,a,a,9999999,a,sa,a
43,fsdfsdfds,bbbbbb,a,9999999,a,sa,a
63,ejemplo,ejemplo,ejemplo.com,9000000,ej,ej,ej
64,ej,ej,ej,91111,ej,ej,ej
65,p,p,p,777,p,p,p
81,mmmm@mail.com,mmmmmm,mmmmmmm,900000,mmmm,mmm,mmmmmmmmmmmmmmm, mmmmmmmmmmmm
82,nnnnnnnnnnnnnn,nnnnnnnnnnnnn,nnnnnnnnnnn,99999,nnnnnnnnnn,nnnnnnnn,nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
83,ej,ej,ej,888,ej,ej,ej
84,ole,ole,ole,434343,ole,ole,ole
